epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,28978.2,0.57561,0.38743,1.00192,0.96579,0.94647,0.97316,0.84699,0.54741,0.36898,0.97955,0.000445756,0.000445756,0.000445756
76,29373.6,0.55629,0.36437,0.98327,0.96462,0.95134,0.97215,0.8551,0.52878,0.36695,0.96463,0.000429253,0.000429253,0.000429253
77,29764.9,0.56083,0.36634,0.97941,0.97536,0.95349,0.97755,0.8585,0.52121,0.36266,0.96921,0.000412749,0.000412749,0.000412749
78,30149.9,0.56463,0.38128,0.9859,0.97869,0.94005,0.96692,0.84267,0.55618,0.37909,0.99619,0.000396246,0.000396246,0.000396246
79,30534.9,0.56181,0.3814,0.98723,0.95939,0.9554,0.97426,0.84328,0.54904,0.36955,0.98401,0.000379743,0.000379743,0.000379743
80,30913.3,0.55672,0.36602,0.99006,0.97026,0.95645,0.96804,0.8487,0.53822,0.37581,0.98494,0.000363239,0.000363239,0.000363239
81,31291.6,0.55315,0.37043,0.99243,0.95953,0.95408,0.96804,0.84486,0.54772,0.38328,0.98731,0.000346736,0.000346736,0.000346736
82,31666.5,0.56849,0.37861,1.00338,0.9528,0.9621,0.96442,0.84838,0.54337,0.40174,0.98153,0.000330233,0.000330233,0.000330233
83,32045.9,0.54691,0.37256,0.98534,0.96368,0.94446,0.967,0.84261,0.54726,0.39084,0.98029,0.000313729,0.000313729,0.000313729
84,32433.5,0.55052,0.35823,0.97222,0.96621,0.95987,0.97358,0.85023,0.54395,0.36798,0.98285,0.000297226,0.000297226,0.000297226
85,32818.2,0.55894,0.35065,0.98234,0.96677,0.95322,0.9734,0.85402,0.53822,0.37438,0.97697,0.000280723,0.000280723,0.000280723
86,33206.6,0.5285,0.35819,0.96582,0.96571,0.96168,0.97088,0.86054,0.53323,0.36395,0.97334,0.00026422,0.00026422,0.00026422
87,33612,0.53412,0.35891,0.97773,0.96574,0.96114,0.97339,0.85694,0.52881,0.3678,0.97252,0.000247716,0.000247716,0.000247716
88,33999.5,0.53947,0.35531,0.97283,0.96549,0.95148,0.97035,0.85579,0.52427,0.38338,0.96446,0.000231213,0.000231213,0.000231213
89,34387.1,0.54917,0.36214,0.98717,0.96175,0.95499,0.97,0.8511,0.52336,0.38681,0.96629,0.00021471,0.00021471,0.00021471
90,34767.7,0.5347,0.34826,0.97336,0.96822,0.94838,0.97067,0.85015,0.52952,0.38394,0.97387,0.000198206,0.000198206,0.000198206
91,35147.5,0.52141,0.29465,0.95985,0.97375,0.95376,0.9709,0.85943,0.52547,0.36768,0.97102,0.000181703,0.000181703,0.000181703
92,35525,0.51411,0.2865,0.95228,0.96192,0.95999,0.97069,0.85731,0.52591,0.37289,0.96942,0.0001652,0.0001652,0.0001652
93,35909.3,0.51619,0.28295,0.95992,0.96978,0.94966,0.97028,0.85395,0.5306,0.38159,0.97233,0.000148696,0.000148696,0.000148696
94,36290.8,0.50902,0.2754,0.95002,0.97581,0.94656,0.97227,0.85286,0.53787,0.36873,0.98455,0.000132193,0.000132193,0.000132193
95,36680.2,0.50768,0.27048,0.95471,0.95947,0.96182,0.97286,0.85244,0.54714,0.3791,0.98943,0.00011569,0.00011569,0.00011569
96,37069.2,0.52603,0.28262,0.95748,0.98516,0.94968,0.97371,0.85622,0.53901,0.37506,0.98387,9.91865e-05,9.91865e-05,9.91865e-05
97,37451.1,0.50956,0.28274,0.9588,0.98217,0.94782,0.97383,0.85882,0.53378,0.37369,0.97799,8.26832e-05,8.26832e-05,8.26832e-05
98,37836.5,0.50161,0.28093,0.95804,0.97605,0.94838,0.97442,0.86174,0.53198,0.37048,0.97928,6.61799e-05,6.61799e-05,6.61799e-05
99,38221.9,0.50135,0.26898,0.9528,0.97755,0.94838,0.97414,0.86094,0.52864,0.37187,0.97807,4.96766e-05,4.96766e-05,4.96766e-05
100,38608.5,0.49974,0.27433,0.9424,0.96247,0.96172,0.97343,0.85856,0.52958,0.36909,0.97644,3.31733e-05,3.31733e-05,3.31733e-05
